项目指令,用户名称,,country,province,city,district,formatted_address,level,location
T5375/76,中安联合,,中国,吉林省,长春市,榆树市,吉林省长春市榆树市中安村,村庄,"126.240669,44.884903"
G0013,迁安钢铁,,中国,河北省,唐山市,丰润区,河北省唐山市丰润区钢铁,兴趣点,"118.204439,39.802211"
T6B44,山东沂水大地,,中国,山东省,临沂市,沂水县,山东省临沂市沂水县,区县,"118.627918,35.790450"
WT5500,台湾机组,,中国,台湾省,暂无数据,暂无数据,台湾省,省,"121.508903,25.044319"
T5961,下沙杭联,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
G1007/1008,荆门绿动,,中国,湖北省,荆门市,暂无数据,湖北省荆门市,市,"112.199265,31.035423"
T5522,方家庄电厂,,中国,浙江省,舟山市,定海区,浙江省舟山市定海区方家,乡镇,"122.019890,30.113861"
T5970,如皋华电热电,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T6B47,山东世纪阳光科技,,中国,山东省,济南市,历下区,山东省济南市历下区山东世纪阳光,兴趣点,"117.031887,36.648457"
T5553,惠州宏瑞,,中国,广东省,惠州市,暂无数据,广东省惠州市,市,"114.416196,23.111847"
WT8733,伊朗星油,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
WT6A87,泰国机组,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T5510,重庆理文,,中国,重庆市,重庆市,暂无数据,重庆市,省,"106.551556,29.563009"
T6A30/31,江苏国信协联能源,,中国,江苏省,暂无数据,暂无数据,江苏省,省,"118.763232,32.061707"
T5778/79,大唐国际潮州电厂,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
KT5882/83,浙江石化,,中国,浙江省,杭州市,上城区,浙江省杭州市上城区石化,兴趣点,"120.192453,30.231782"
T5991,黑龙江伊品生物,,中国,黑龙江省,暂无数据,暂无数据,黑龙江省,省,"126.661669,45.742347"
WT5593/94/95/96,印度机组,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
"
G0016",青岛钢铁,,中国,山东省,青岛市,城阳区,山东省青岛市城阳区钢铁,兴趣点,"120.359640,36.271693"
WT5461-1/-2,巴基斯坦项目,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T5772/73,宁夏华能大坝电厂,,中国,宁夏回族自治区,暂无数据,暂无数据,宁夏回族自治区,省,"106.258754,38.471317"
T5865,大连恒力,,中国,辽宁省,大连市,暂无数据,辽宁省大连市,市,"121.614682,38.914003"
T5766,南通美亚,,中国,江苏省,南通市,暂无数据,江苏省南通市,市,"120.894291,31.980171"
T5836/37,大连恒力,,中国,辽宁省,大连市,暂无数据,辽宁省大连市,市,"121.614682,38.914003"
T5554,山阴电厂二期,,中国,山西省,朔州市,山阴县,山西省朔州市山阴县山阴电厂二期,兴趣点,"112.805942,39.620087"
T5793,河南金大地,,中国,河南省,郑州市,二七区,河南省郑州市二七区金大地,兴趣点,"113.665893,34.740699"
T6A80,诸暨华海,,中国,浙江省,绍兴市,诸暨市,浙江省绍兴市诸暨市诸暨,兴趣点,"120.247219,29.715452"
T6A99,吉林梅花,,中国,吉林省,暂无数据,暂无数据,吉林省,省,"125.325990,43.896536"
T5972,齐鲁石化,,中国,陕西省,渭南市,蒲城县,陕西省渭南市蒲城县齐鲁村,村庄,"109.637230,34.895592"
WT5303/04/05/06,越南斗山,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T5874,中电洪泽热电,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T5256,内蒙和林热电,,中国,内蒙古自治区,暂无数据,暂无数据,内蒙古自治区,省,"111.765617,40.817498"
T6A80/81,诸暨华海,,中国,浙江省,绍兴市,诸暨市,浙江省绍兴市诸暨市诸暨,兴趣点,"120.247219,29.715452"
T5414,浙江哲丰能源,,中国,浙江省,暂无数据,暂无数据,浙江省,省,"120.152791,30.267446"
WT8999,菲律宾圣元电站,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
G0011,重庆钢铁,,中国,重庆市,重庆市,大渡口区,重庆市大渡口区钢铁,兴趣点,"106.505127,29.491813"
C225/226/227,大连426厂,,中国,辽宁省,大连市,西岗区,辽宁省大连市西岗区426厂,兴趣点,"121.642260,38.932362"
T5829/30,江苏兴浦化学,,中国,江苏省,暂无数据,暂无数据,江苏省,省,"118.763232,32.061707"
T5742,如东洋口威名石化,,中国,江苏省,南通市,如东县,江苏省南通市如东县洋口,村庄,"121.023932,32.543711"
T5882,浙江石化,,中国,浙江省,杭州市,上城区,浙江省杭州市上城区石化,兴趣点,"120.192453,30.231782"
T5700,莒南力源电厂,,中国,山东省,临沂市,莒南县,山东省临沂市莒南县莒南力源热电厂,兴趣点,"119.040519,35.170350"
